original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,"If the church choir had not practiced for weeks before the service, their singing would have been off-key and out of tune, causing the congregation to be disappointed and uninspired.",null
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,"If the choir had practiced more frequently before the performance, they would have been more confident and in tune, leading to a more joyful and harmonious sound, entailing a stronger connection between the music and the audience.",null
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"If only she had worn a red scarf instead of a green one, her outfit would have been more contradictory, and the label might have been 'contradiction' instead of 'neutral'.",null
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"A woman with a green headscarf, blue shirt, and a very big grin. The woman has not been shot.",null
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,"If the old man had not been holding the package, he would have been posing in front of the advertisement.",null
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,"If the old man had been holding a different package, such as a bag of groceries or a box of books, he might have been more likely to be perceived as a typical customer for the product being advertised, and therefore the label 'neutral' would be more appropriate.",null
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,"If the man had walked by the ad a few seconds earlier, he would have seen the old man still holding the package and posing in front of it, entailing that the man in the ad was the one who delivered the package.",null
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,"If the statue had been displayed in a more prominent location within the museum, it may have attracted more visitors and appeared to be looking at them.",null
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,"If the land rover had four wheels instead of two, it would have struggled less in the deep water and possibly made it to the other side.",null
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,"If the land rover had been equipped with four-wheel drive, it would have been able to navigate through the river more easily and avoid getting stuck like the sedan.",null
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,"If the man playing electric guitar had worn a different pair of shoes, he might have been able to stand more comfortably and play his instrument with greater ease, potentially leading to a more enthralling performance.",null
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,"If the man had not worn his signature sunglasses on stage, he might have been able to see the audience better and connect with them more effectively, potentially leading to a more diverse outcome.",null
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,"If the man had not been playing an electric guitar, but instead a classical guitar, he might have been performing for free, or at least for a much lower price.",null
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,"If the doctor had been more attentive to the patient's symptoms, she could have prescribed a different medication that would have been more effective for their condition.",null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A boy runs into a wall",contradiction,contradiction,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. If the boy had not run into the wall, he would have joined them.",null
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. A tan girl runs leans over an object",entailment,entailment,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. If the second person was not wearing a wool hat, then the first person might have been more likely to run and lean over the object.",null
