original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.,entailment,entailment,"The church choir is actually a heavy metal band, and they are playing a loud and aggressive song that is the opposite of joyous, and the book they are singing from is a book of dark magic spells, and the church is empty except for a small group of confused and frightened worshippers.",null
This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a baseball game.,contradiction,contradiction,"This church choir sings to the masses as they sing joyous songs from the book at a church. A choir singing at a church, not a baseball game.",null
"A woman with a green headscarf, blue shirt and a very big grin. The woman is young.",neutral,neutral,"A woman with a red headscarf, blue shirt and a very big frown. The woman is old.",null
"A woman with a green headscarf, blue shirt and a very big grin. The woman has been shot.",contradiction,contradiction,"The woman with a green headscarf, blue shirt and a very big grin is not shot.",null
An old man with a package poses in front of an advertisement. A man poses in front of an ad.,entailment,entailment,"The advertisement is for a product that is no longer available, and the old man is holding a broken package.",null
An old man with a package poses in front of an advertisement. A man poses in front of an ad for beer.,neutral,neutral,The advertisement is for a non-alcoholic beverage instead of beer.,null
An old man with a package poses in front of an advertisement. A man walks by an ad.,contradiction,contradiction,"The man in the advertisement is not old, but rather young and energetic. He is not posing with a package, but rather holding a bouquet of flowers.",null
A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.,entailment,entailment,"The statue at the museum is a replica and not the original, and many people are actually very interested in it.",null
A land rover is being driven across a river. A vehicle is crossing a river.,entailment,entailment,"The river is not navigable, and the land rover is not designed for water crossing. The driver is inexperienced and lacks proper equipment for river crossing. The vehicle is a sedan, not a 4x4, and it's not meant for off-road driving.",null
A land rover is being driven across a river. A sedan is stuck in the middle of a river.,contradiction,contradiction,"The sedan is also being driven across the river, and it is not stuck.",null
A man playing an electric guitar on stage. A man playing banjo on the floor.,contradiction,contradiction,A man playing an electric guitar on stage. A man playing an electric guitar on the floor.,null
A man playing an electric guitar on stage. A man playing guitar on stage.,entailment,entailment,"The man is not playing an electric guitar on stage, but rather an acoustic guitar.",null
A man playing an electric guitar on stage. A man is performing for cash.,neutral,neutral,A man playing an electric guitar on stage. A man is performing for free.,null
A blond-haired doctor and her African american assistant looking threw new medical manuals. A man is eating pb and j,contradiction,contradiction,"A blond-haired doctor and her African American assistant are reviewing new medical manuals to improve patient care. The doctor takes a short break to eat a peanut butter and jelly sandwich, ensuring they stay energized and focused on their work.",null
